wavelength,B,G,R,W
380,0.02518338,0.09929116,0.02661669,0.1071707
381,0.02100816,0.07519279,0.0208177,0.09777676
382,0.02105901,0.0666635,0.02131777,0.08110468
383,0.02007593,0.06058996,0.01122548,0.07460962
384,0.01854911,0.05072956,0.01082586,0.06528946
385,0.01711408,0.04377398,0.01987813,0.05867372
386,0.01711201,0.03345717,0.01375183,0.04881971
387,0.0150807,0.03335229,0.01637962,0.04511324
388,0.01566956,0.02905004,0.01163502,0.04190955
389,0.01403587,0.02555247,0.01246782,0.037997
390,0.01402451,0.02140982,0.008828416,0.03528334
391,0.01334755,0.02218124,0.006829973,0.03519554
392,0.01112417,0.0175322,0.01009142,0.03022921
393,0.01285286,0.01496213,0.01089736,0.02744181
394,0.0120194,0.01487442,0.009833792,0.02624985
395,0.01374648,0.01356283,0.009099726,0.02541628
396,0.0137919,0.01161594,0.009479609,0.02276088
397,0.01232965,0.01119014,0.005445892,0.0240431
398,0.01190366,0.009860379,0.006698796,0.02415883
399,0.01226588,0.009822265,0.004297033,0.02090775
400,0.01257924,0.007747471,0.005271066,0.02176324
401,0.01323445,0.007177542,0.006610915,0.02206078
402,0.01416502,0.008759012,0.004133698,0.02215241
403,0.01442445,0.006445241,0.004054261,0.0238086
404,0.01478804,0.007808789,0.003177727,0.02309836
405,0.01567906,0.00583418,0.001939233,0.02226481
406,0.01733724,0.00616417,0.002938422,0.02327414
407,0.01891682,0.007051817,0.003608302,0.02406736
408,0.02154591,0.007038816,0.004690919,0.02481908
409,0.02259627,0.005783888,0.004545232,0.02839198
410,0.02487774,0.004903369,0.003654463,0.0279042
411,0.02860376,0.00635197,0.003057896,0.03020765
412,0.03245431,0.005580175,0.004594868,0.03453754
413,0.03768734,0.004998599,0.001914817,0.03883328
414,0.04493934,0.004450609,0.004008171,0.04492572
415,0.0515822,0.004537955,0.003628235,0.04899381
416,0.0585509,0.004422326,0.003352521,0.05763223
417,0.07023922,0.003890379,0.002783462,0.06200167
418,0.07937774,0.004336098,0.00236375,0.07126059
419,0.09055354,0.004914371,0.003417149,0.07973339
420,0.1030068,0.004020658,0.003126387,0.09001209
421,0.1178076,0.003278697,0.002225008,0.1024388
422,0.1311658,0.005387546,0.00207952,0.1154845
423,0.1494242,0.004641339,0.001692773,0.1301564
424,0.170819,0.003832511,0.002464173,0.1469455
425,0.194054,0.003402978,0.002178966,0.1674913
426,0.2231465,0.0045595,0.003090448,0.184262
427,0.2549556,0.00471511,0.002110797,0.2161782
428,0.2932242,0.00431971,0.004267951,0.2474316
429,0.3389963,0.004377867,0.003508495,0.2820945
430,0.3945568,0.004730777,0.002816222,0.3307613
431,0.4688637,0.005317139,0.003677444,0.3867958
432,0.5586262,0.00519602,0.003133757,0.4587675
433,0.6697931,0.005630079,0.004036651,0.5496131
434,0.8079895,0.00646246,0.005133015,0.6582248
435,0.9828393,0.00641421,0.004902138,0.7955565
436,1.196306,0.00762905,0.005650515,0.9724811
437,1.451567,0.007993312,0.006393089,1.18421
438,1.757034,0.008887598,0.008522591,1.422456
439,2.123099,0.008910589,0.009095865,1.726303
440,2.525011,0.0110472,0.01095187,2.065634
441,2.95895,0.01267459,0.01019568,2.426615
442,3.404411,0.01358681,0.01305573,2.801461
443,3.796637,0.01490291,0.01433931,3.140263
444,4.117661,0.01735999,0.01495954,3.432327
445,4.311923,0.01811542,0.017727,3.610783
446,4.393864,0.01968306,0.01868733,3.704935
447,4.353225,0.02027111,0.01884457,3.69163
448,4.181649,0.01935945,0.01901665,3.589454
449,3.885756,0.01972482,0.0178631,3.359541
450,3.539931,0.0190476,0.01773484,3.078305
451,3.148811,0.01784061,0.01717507,2.768672
452,2.765909,0.01667647,0.01482128,2.45068
453,2.416097,0.01467001,0.01299729,2.167847
454,2.113207,0.01348687,0.01210259,1.890068
455,1.858622,0.0122598,0.01144926,1.669729
456,1.651441,0.01176132,0.009972869,1.485592
457,1.479445,0.009867057,0.0109376,1.337618
458,1.358052,0.009667751,0.008780114,1.216271
459,1.2615,0.0094045,0.009060551,1.128747
460,1.192993,0.009179721,0.008591544,1.066793
461,1.145971,0.009151231,0.006993904,1.029582
462,1.113579,0.008597743,0.007526735,0.9979551
463,1.103428,0.008641773,0.007961295,0.9911761
464,1.106514,0.009124629,0.00846285,0.9911233
465,1.123444,0.009536875,0.00769402,1.010671
466,1.147218,0.01084708,0.008296004,1.03504
467,1.183456,0.01027285,0.007370513,1.063354
468,1.23446,0.0112848,0.007997701,1.112956
469,1.300641,0.01192576,0.008045347,1.169061
470,1.367801,0.01316885,0.01000906,1.22841
471,1.441716,0.01413009,0.01170774,1.289159
472,1.514395,0.01632649,0.01136921,1.356832
473,1.584721,0.01783144,0.0124075,1.418688
474,1.648142,0.02110796,0.01554426,1.471281
475,1.701778,0.02588074,0.0180766,1.52494
476,1.745013,0.02970143,0.02001186,1.564859
477,1.767764,0.03466425,0.02555511,1.593366
478,1.773299,0.03961945,0.02941825,1.602956
479,1.77006,0.04305518,0.03198298,1.605574
480,1.755729,0.04825276,0.03763862,1.600486
481,1.726034,0.05314562,0.03980263,1.576581
482,1.690655,0.05768486,0.04339229,1.553545
483,1.64281,0.06132112,0.04802924,1.516512
484,1.580079,0.0636079,0.05068804,1.463205
485,1.517598,0.0663599,0.05513683,1.418095
486,1.455716,0.06727237,0.05499439,1.366962
487,1.388123,0.06891339,0.05725246,1.308445
488,1.317305,0.06936374,0.05851182,1.243791
489,1.246367,0.06873163,0.05674886,1.182217
490,1.173075,0.0694171,0.05741726,1.119784
491,1.093358,0.06985077,0.05797626,1.050464
492,1.018629,0.06895672,0.05777589,0.9804907
493,0.9424649,0.06984269,0.05669213,0.9143798
494,0.8675303,0.06970938,0.05782057,0.8513675
495,0.8015559,0.07017736,0.05613688,0.7910056
496,0.7409254,0.07165392,0.05735828,0.7374845
497,0.6813115,0.07242073,0.05614204,0.6864762
498,0.6267883,0.07369153,0.05483044,0.6387588
499,0.5794906,0.07754774,0.05566936,0.5989431
500,0.5345718,0.07888433,0.05447721,0.5558949
501,0.49472,0.08193523,0.05300662,0.5254982
502,0.4580785,0.08554439,0.05266506,0.4981707
503,0.4258601,0.0883995,0.0511531,0.4700579
504,0.3949121,0.09261572,0.05139104,0.4438705
505,0.3676491,0.097724,0.04858921,0.4252248
506,0.3431825,0.1037129,0.04618046,0.4054517
507,0.3191956,0.1077946,0.04328012,0.3879164
508,0.298349,0.1147885,0.04121583,0.3691841
509,0.2778619,0.1195735,0.03854951,0.353685
510,0.2582697,0.126911,0.03750234,0.3383079
511,0.2388411,0.1352515,0.03550443,0.3253856
512,0.2219197,0.1460096,0.03361486,0.3149201
513,0.2047805,0.1569251,0.03066011,0.3064588
514,0.1903219,0.1726999,0.03022368,0.3052357
515,0.1736818,0.1918877,0.02835399,0.3027978
516,0.162865,0.2147765,0.02646674,0.3086974
517,0.1528067,0.2457923,0.02660204,0.3196358
518,0.1430854,0.2816231,0.02479467,0.3344726
519,0.1338744,0.3295251,0.024743,0.3544986
520,0.1270435,0.3886845,0.02508133,0.3895673
521,0.1212488,0.4580548,0.02515837,0.4367011
522,0.1166168,0.5476751,0.02454189,0.4904536
523,0.1129454,0.6589801,0.02464941,0.5645334
524,0.1112878,0.7911588,0.02590025,0.6560395
525,0.1128013,0.9572537,0.02770306,0.7679272
526,0.114726,1.153916,0.03118574,0.9021191
527,0.1183548,1.388003,0.03343452,1.066282
528,0.1232593,1.661455,0.03666365,1.260141
529,0.1297702,1.975622,0.04111697,1.476921
530,0.1379106,2.33866,0.04378327,1.731578
531,0.1471087,2.7407,0.04806566,2.02371
532,0.1578449,3.176299,0.05437499,2.326878
533,0.1695763,3.632402,0.06030397,2.656169
534,0.1831823,4.124473,0.06858679,3.024313
535,0.197003,4.634194,0.07476296,3.398018
536,0.2115447,5.169206,0.08119024,3.777218
537,0.2257066,5.693394,0.08719718,4.162007
538,0.2388864,6.191545,0.09338139,4.53207
539,0.2509358,6.670391,0.09903069,4.882721
540,0.263776,7.094378,0.105181,5.2014
541,0.2722412,7.469352,0.1091545,5.477486
542,0.2813049,7.7748,0.1135765,5.708942
543,0.2865124,7.990361,0.1158925,5.882182
